specific_subject,appearance_count
蜜草,1
蝇,1
蝉,1
蝎,1
蝗,1
蝤蛑,1
蝶,1
螺蚌,1
蟹八月腹中,1
蠡荠,1
补阙杨子孙堇,1
西域书,1
西域佛金刚座,1
西王母姓杨,1
训胡,1
许卑山人,1
许超,1
谢豹,1
谯郡,1
象,1
豫章船,1
貊泽,1
贝丘之南,1
贝丘西,1
贝多,1
贞元三年,1
贞元中,1
贞元年中,1
负子,1
贼赵武建,1
贾相公,1
赤斑唐,1
赤白柽,1
赤色,1
赵法和请占,1
越人习水,1
身神及诸神名异者,1
辟支佛靴,1
近,1
近佛画中,1
进士段硕常识南孝廉者,1
通脱木,1
道列三界诸天,1
道士秦霞霁,1
道士郭采真,1
避役,1
邓城西百馀里,1
邙山,1
邢和璞偏得黄老之道,1
那揭罗曷国,1
那揭罗曷国城东塔中,1
郑云达,1
郑相,1
郑相公宅,1
郓州阚司仓者,1
郭代公,1
都下佛寺往往,1
都街肆恶,1
鄯鄯之东,1
酆都稻名重思,1
酒杯藤,1
醢石,1
释僧祗律,1
释氏,1
释氏书,1
释门三界二十八天、四洲至,1
野悉蜜,1
野狐丝,1
野狐鼻涕,1
金含毗罗城,1
金曾经,1
金钱花,1
釜石,1
铁镜,1
铜匙草,1
铜神,1
铜马,1
铜驼,1
锥,1
镜石,1
长寿寺僧誓,1
长庆,1
长白山西,1
阿勃参,1
阿萨部多猎虫鹿,1
阿驿,1
阿魏,1
陆盐,1
陈朴,1
陵州,1
陵州龙兴寺僧惠恪,1
雀,1
雀芋,1
集贤,1
集贤张希复学士,1
雌一玉捡、四规明镜、五柱,1
雌雉,1
雍益坚云,1
雏鹆,1
雕角鹰等,1
雨木,1
雪,1
雷蜞,1
青,1
青斑唐,1
青班,1
青田核,1
青草槐,1
韦行规自言,1
韩,1
顾况丧一子,1
颠当,1
风声木,1
飞鱼,1
食胶虫,1
饮酒者,1
香狸,1
马仆射,1
马仆射（一,1
马伏波,1
马侍中,1
马头鱼,1
驼,1
骆宾王,1
骨利干国,1
高唐县,1
高唐县鸣石山,1
高堂县南,1
高宗,1
高帝（一曰「高齐」）武平,1
高祖,1
高,1
鬼书,1
鬼官,1
鬼皂荚,1
鬼矢,1
鬼车鸟,1
魏仆射收临代,1
魏使李同轨、陆操聘梁,1
魏使陆操至梁,1
魏时,1
魏明帝始造白马寺,1
魏明帝起凌云台,1
魏李骞、崔︱至梁同泰寺,1
魏杨元稹能解,1
魏贾,1
魏韦英卒后,1
魏高阳王雍,1
鱼石,1
鲎,1
鲛鱼,1
鲤,1
鲤鲋法,1
鲵鱼,1
鴘鹰荏子,1
鵴鸟,1
鸢,1
鸭舌草,1
鸽,1
鹅,1
鹊巢中必,1
鹦鹉,1
鹰之雌雄,1
鹰巢,1
鹲雕,1
鹳,1
鹳鹁,1
鹿,1
麝衣登,1
黄{要目},1
黄儿,1
黄杨木,1
黄色,1
黄鱼,1
黑皂鹂,1
黑绳,1
黑绳地狱,1
鼓杖,1
鼠丸,1
齐暾树,1
齐王高洋天保三年,1
齐王高纬,1
齐王高纬武平六年,1
齐郡接历山上,1
齿,1
龙王身光,1
龙脑香树,1
持天,1
烂堆（一,1
,1
穑树,1
柰只,1
吉蜣,1
敦禺,1
翳翁,1
鬼,1
昔鱼,1
重鱼,1
,1
