broad_category,level1_subject,level2_subject,specific_subject,volume_index,volume_title,source,paragraph_id,primary_subject,keywords,text
植物,植物,花草,花草,34,卷十七·广动植之二,三校,V34-P806,花草,花、梨,菩提树，出摩伽陀国，在摩诃菩提寺，盖释迦如来成道时树，名思惟树。茎干黄白，枝叶青翠，经冬不凋。至佛入灭日，变色凋落，过已还生。至此日，国王人民大作佛事，收叶而归……
建筑寺塔,建筑寺塔,寺观塔庙,寺观塔庙,34,卷十七·广动植之二,三校,V34-P806,寺观塔庙,寺、观、塔,菩提树，出摩伽陀国，在摩诃菩提寺，盖释迦如来成道时树，名思惟树。茎干黄白，枝叶青翠，经冬不凋。至佛入灭日，变色凋落，过已还生。至此日，国王人民大作佛事，收叶而归……
器物技艺,器物技艺,用具杂器,用具杂器,34,卷十七·广动植之二,三校,V34-P806,用具杂器,尺、称,菩提树，出摩伽陀国，在摩诃菩提寺，盖释迦如来成道时树，名思惟树。茎干黄白，枝叶青翠，经冬不凋。至佛入灭日，变色凋落，过已还生。至此日，国王人民大作佛事，收叶而归……
佛道宗教,佛道宗教,佛法,佛法,34,卷十七·广动植之二,三校,V34-P806,佛法,佛、释、经、梵、寺,菩提树，出摩伽陀国，在摩诃菩提寺，盖释迦如来成道时树，名思惟树。茎干黄白，枝叶青翠，经冬不凋。至佛入灭日，变色凋落，过已还生。至此日，国王人民大作佛事，收叶而归……
佛道宗教,佛道宗教,道法,道法,34,卷十七·广动植之二,三校,V34-P806,道法,道、黄白,菩提树，出摩伽陀国，在摩诃菩提寺，盖释迦如来成道时树，名思惟树。茎干黄白，枝叶青翠，经冬不凋。至佛入灭日，变色凋落，过已还生。至此日，国王人民大作佛事，收叶而归……
梦兆占卜,梦兆占卜,祥瑞灾异,祥瑞灾异,34,卷十七·广动植之二,三校,V34-P806,祥瑞灾异,瑞、火,菩提树，出摩伽陀国，在摩诃菩提寺，盖释迦如来成道时树，名思惟树。茎干黄白，枝叶青翠，经冬不凋。至佛入灭日，变色凋落，过已还生。至此日，国王人民大作佛事，收叶而归……
佛道宗教,佛道宗教,佛法,佛法,34,卷十七·广动植之二,三校,V34-P807,佛法,经、梵,贝多，出摩伽陀国，长六七丈，经冬不凋。此树有三种，者多罗娑力叉贝多，二者多梨婆力叉贝多，三者部婆力叉多罗梨。并书其叶，部闍色取其皮书之。贝多是梵语，汉翻为叶。贝……
器物技艺,器物技艺,用具杂器,用具杂器,34,卷十七·广动植之二,三校,V34-P808,用具杂器,称,《嵩山记》称嵩高等中有思惟树，即贝多也。
佛道宗教,佛道宗教,佛法,佛法,34,卷十七·广动植之二,三校,V34-P809,佛法,释、经,释氏有贝多树下《思惟经》，顾徽《广州记》称贝多叶似枇杷，并谬。
动物,动物,龙蛇类,龙蛇类,34,卷十七·广动植之二,三校,V34-P811,龙蛇类,龙,龙脑香树，出婆利国，婆利呼为固不婆律。亦出波斯国。树高八九丈，大可六七围，叶圆而背白，无花实。其树有肥有瘦，瘦者有婆律膏香，一曰瘦者出龙脑香，肥者出婆律膏也。在……
