volume_index,volume_title,source,paragraph_id,duplicate_broad_categories,duplicate_specific_subjects,text
31,卷十六·广动植之一,三校,V31-P566,人物政事、动物,帝王、鸟类,嗽金鸟，出昆明国。形如雀，色黄，常翱翔于海上。魏明帝时，其国来献此鸟。饴以真珠及龟脑，常吐金屑如粟，铸之乃为器服。宫人争以鸟所吐金为钗珥，谓之辟寒金，以鸟不畏寒……
32,卷十六·广动植之一,三校,V32-P577,动物、饮食医药、天文地理,兽类、食物饮品、医术药理、天象、地理山水,又言，龙象六十岁，骨方足。今荆地象色黑，两牙，江猪也。咸亨二年，周澄国遣使上表，言：「诃伽国有白象，首垂四牙，身运五足，象之所在，其土必丰。以水洗牙，饮之愈疾。……
32,卷十六·广动植之一,三校,V32-P578,鬼怪妖魅、饮食医药、天文地理,仙神、医术药理、天象,虎交而月晕。仙人郑思远常骑虎，故人许隐齿痛求治，郑曰：「唯得虎须，及热插齿间即愈。」郑为拔数茎与之，因知虎须治齿也。虎杀人，能令尸起自解衣，方食之。虎威如乙字，……
32,卷十六·广动植之一,三校,V32-P579,动物、植物、饮食医药,兽类、花草、药草、食物饮品、医术药理,马，虏中护兰马，玉白马也，亦曰玉面谙真马，十三岁马也。以十三岁已下，可以留种。旧种马，戎马八尺，田马七尺，怒马六尺。瓜州饲马以草，沙州以茨萁，凉州以勃突浑，蜀……
32,卷十六·广动植之一,三校,V32-P582,人物政事、天文地理,帝王、地理山水,北虏之先索国有泥师都，二妻生四子。子化为鸿，遂委三子，谓曰：「尔可从古旃。」古旃，牛也。三子因随牛，牛所粪，悉成肉酪。太原县北有银牛山，汉建武二十年，有人骑白牛……
32,卷十六·广动植之一,三校,V32-P585,动物、器物技艺、饮食医药、天文地理,兽类、乐器、医术药理、地理山水,犀之通天者必恶影，常饮浊水。当其溺时，人趁不复移足。角之理，形似百物。或云犀角通者是其病，然其理有倒插、正插、腰鼓插。倒者，半已下通。正者，半已上通。腰鼓者，中……
32,卷十六·广动植之一,三校,V32-P598,动物、天文地理、异域物产,兽类、地理山水、异国,大尾羊，康居出大尾羊，尾上旁广，重十斤。又僧玄奘至西域，大雪山高岭下有一村养羊，大如驴。宾国出野青羊，尾如翠色，土人食之。
32,卷十六·广动植之一,三校,V32-P599,动物、植物、器物技艺、饮食医药、天文地理,龙蛇类、鸟类、兽类、鱼类、昆虫、花草、果蔬、用具杂器、食物饮品、天象、地理山水,羽嘉生飞龙，飞龙生凤，凤生鸾，鸾生庶鸟。应龙生建鸟，建鸟生麒麟，骐麟生庶兽。分鳞生蛟龙，蛟龙生鲲鲠，鲲鲠生建邪，建邪生庶鱼。分潭生先龙，先龙生玄魧，玄魧生灵龟，……
32,卷十六·广动植之一,三校,V32-P600,人物政事、动物、植物、天文地理,侠盗刺客、鸟类、兽类、鱼类、花草、果蔬、药草、天象,人参处处生，兰长生为瑞。有实曰果。又在木曰果。小麦忌戌，大麦忌子。荠、葶苈、菥莫为三叶，孟夏煞之。乌头壳外有毛，石劫应节生花。木再花，夏有雹。李再花，秋大霜。木……
32,卷十六·广动植之一,三校,V32-P601,人物政事、动物,将相臣子、兽类、鱼类,"葛稚川尝就上林令鱼泉，得朝臣所上草木名二十余种。邻人石琼，就之求借，皆遗弃。语曰：""买鱼得鱮，不如食茹。""""宁去累世宅，不去｛制魚｝鱼额。""""洛鲤伊鲂，贵于牛羊……"
32,卷十六·广动植之一,三校,V32-P604,动物、天文地理,鸟类、天象、地理山水,鹳，江淮谓群鹳旋飞为鹳井。鹤亦好旋飞，必有风雨。人探巢取鹳子，六十里早。能群飞薄霄激雨，雨为之散。
32,卷十六·广动植之一,三校,V32-P605,动物、梦兆占卜,鸟类、占卜预言,乌鸣地上无好声。人临行，乌鸣而前引，多喜，此旧占所不载。贞元四年，郑、汴二州，群鸟飞入田李纳绪境内，衔木为城，高至二三尺，方十余里。纳绪恶而命焚之，信宿如旧，乌……
32,卷十六·广动植之一,三校,V32-P608,动物、天文地理,兽类、地理山水,燕，凡狐白貉鼠之类，燕见之则毛脱。或言燕蛰于水底。旧说燕不入室，是井之虚也。取桐为男女各一，投井中，燕必来。胸班黑，声大，名胡燕。其巢有容匹素练者。
32,卷十六·广动植之一,三校,V32-P611,人物政事、动物,帝王、鸟类,鹦鹉，能飞。众鸟趾前三后一，唯鹦鹉四趾齐分。凡鸟下睑眨上，独此鸟两睑俱动，如人目。玄宗时，有五色鹦鹉能言，上令左右试牵帝衣，鸟辄瞋目叱吒。岐府文学能延京献《鹦鹉……
32,卷十六·广动植之一,三校,V32-P618,动物、梦兆占卜、超自然力量,鸟类、昆虫、祥瑞灾异、灵异物件,"异鸟，天宝二年，平卢有紫虫食禾苗。时东北有赤头鸟，群飞食之。开元二十三年，榆关有［四庫本為""虸""］蚄虫，延入平州界，亦有群雀食之。又开元中，具州蝗虫食禾，有大白……"
32,卷十六·广动植之一,三校,V32-P621,动物、佛道宗教,鸟类、道法,吐绶鸟，鱼复县南山有鸟，大如鸲鹆，羽色多黑，杂以黄白，头颊似雉，有时吐物，长数寸，丹彩彪炳，形色类绶，因名为吐绶鸟。又食必蓄嗉，臆前大如斗，虑触其嗉，行每远草木……
